EvidenceTier,Split,EvidenceLevel,Endpoint,Unit,Direction,MethodOrder,Method,MethodLabel,Status,Reason,SubjectCount,Mean,SampleStd,RankWithinTier
Primary validation,val,Validation primary,FullSphereERB,dB,Lower is better,1,SHOnly,SH only,AVAILABLE,,44,2.6659559665157864,0.15452382402478576,10
Primary validation,val,Validation primary,FullSphereERB,dB,Lower is better,2,SUpDEqSH,SUpDEq SH,AVAILABLE,,44,1.819432875276224,0.23741393349616013,8
Primary validation,val,Validation primary,FullSphereERB,dB,Lower is better,3,SUpDEqNN,SUpDEq NN,AVAILABLE,,44,1.849413664920609,0.25002406141372197,9
Primary validation,val,Validation primary,FullSphereERB,dB,Lower is better,4,SUpDEqBary,SUpDEq Barycentric,AVAILABLE,,44,1.7421466562590262,0.21966648231429284,7
Primary validation,val,Validation primary,FullSphereERB,dB,Lower is better,5,MCA,MCA,AVAILABLE,,44,1.0957382794104626,0.1446781338499423,5
Primary validation,val,Validation primary,FullSphereERB,dB,Lower is better,6,MCARv351,MCAR v3.5.1,AVAILABLE,,44,0.8308081768778546,0.15217708712315192,3
Primary validation,val,Validation primary,FullSphereERB,dB,Lower is better,7,FSPAE,FSP-AE,AVAILABLE,,44,1.1603106749036973,0.1618864253659326,6
Primary validation,val,Validation primary,FullSphereERB,dB,Lower is better,8,RANF,RANF,AVAILABLE,,44,1.0746120926761717,0.1466365478883623,4
Primary validation,val,Validation primary,FullSphereERB,dB,Lower is better,9,HYBRID,Hybrid E190,AVAILABLE,,44,0.8044203110730913,0.16137634283993174,2
Primary validation,val,Validation primary,FullSphereERB,dB,Lower is better,10,BOUNDED,Bounded E25,AVAILABLE,,44,0.7966490937772325,0.15718464836259363,1
Primary validation,val,Validation primary,Contralateral25ERB,dB,Lower is better,1,SHOnly,SH only,AVAILABLE,,44,3.8296365508386105,0.3613569593236591,10
Primary validation,val,Validation primary,Contralateral25ERB,dB,Lower is better,2,SUpDEqSH,SUpDEq SH,AVAILABLE,,44,2.2459817023270876,0.15221907134555915,9
Primary validation,val,Validation primary,Contralateral25ERB,dB,Lower is better,3,SUpDEqNN,SUpDEq NN,AVAILABLE,,44,2.2194045152110182,0.16554501225508875,8
Primary validation,val,Validation primary,Contralateral25ERB,dB,Lower is better,4,SUpDEqBary,SUpDEq Barycentric,AVAILABLE,,44,2.162174403720772,0.15918710924670115,7
Primary validation,val,Validation primary,Contralateral25ERB,dB,Lower is better,5,MCA,MCA,AVAILABLE,,44,1.7635078108972038,0.17712463792382588,5
Primary validation,val,Validation primary,Contralateral25ERB,dB,Lower is better,6,MCARv351,MCAR v3.5.1,AVAILABLE,,44,1.2889532413126572,0.1732104330305677,3
Primary validation,val,Validation primary,Contralateral25ERB,dB,Lower is better,7,FSPAE,FSP-AE,AVAILABLE,,44,1.8479172775430348,0.17490351779579538,6
Primary validation,val,Validation primary,Contralateral25ERB,dB,Lower is better,8,RANF,RANF,AVAILABLE,,44,1.627498745890078,0.22772345744640077,4
Primary validation,val,Validation primary,Contralateral25ERB,dB,Lower is better,9,HYBRID,Hybrid E190,AVAILABLE,,44,1.214593084257463,0.18868738861833947,1
Primary validation,val,Validation primary,Contralateral25ERB,dB,Lower is better,10,BOUNDED,Bounded E25,AVAILABLE,,44,1.2166261333537989,0.18011817899409754,2
Primary validation,val,Validation primary,ContralateralHighFrequency,dB,Lower is better,1,SHOnly,SH only,AVAILABLE,,44,9.01637654401128,0.6207554141175401,10
Primary validation,val,Validation primary,ContralateralHighFrequency,dB,Lower is better,2,SUpDEqSH,SUpDEq SH,AVAILABLE,,44,6.00559886333293,0.36646527681907576,9
Primary validation,val,Validation primary,ContralateralHighFrequency,dB,Lower is better,3,SUpDEqNN,SUpDEq NN,AVAILABLE,,44,5.661935918451021,0.2859743117256122,8
Primary validation,val,Validation primary,ContralateralHighFrequency,dB,Lower is better,4,SUpDEqBary,SUpDEq Barycentric,AVAILABLE,,44,5.527233499578518,0.27118355985285825,7
