sparsity_level,direction_count,within_level_index_zero_based,source_index_zero_based,azimuth_deg,elevation_deg,colatitude_deg,selection_policy
Q14,14,0,1,0.0000000000,-30.0000000000,120.0000000000,frozen_nested_q14_from_q6_q14_q26_v1
Q14,14,1,11,0.0000000000,90.0000000000,0.0000000000,frozen_nested_q14_from_q6_q14_q26_v1
Q14,14,2,94,340.0000000000,10.0000000000,80.0000000000,frozen_nested_q14_from_q6_q14_q26_v1
Q14,14,3,107,160.0000000000,-10.0000000000,100.0000000000,frozen_nested_q14_from_q6_q14_q26_v1
Q14,14,4,169,145.0000000000,30.0000000000,60.0000000000,frozen_nested_q14_from_q6_q14_q26_v1
Q14,14,5,271,300.0000000000,20.0000000000,70.0000000000,frozen_nested_q14_from_q6_q14_q26_v1
Q14,14,6,284,120.0000000000,-20.0000000000,110.0000000000,frozen_nested_q14_from_q6_q14_q26_v1
Q14,14,7,287,295.0000000000,-45.0000000000,135.0000000000,frozen_nested_q14_from_q6_q14_q26_v1
Q14,14,8,528,65.0000000000,-45.0000000000,135.0000000000,frozen_nested_q14_from_q6_q14_q26_v1
Q14,14,9,531,240.0000000000,-20.0000000000,110.0000000000,frozen_nested_q14_from_q6_q14_q26_v1
Q14,14,10,544,60.0000000000,20.0000000000,70.0000000000,frozen_nested_q14_from_q6_q14_q26_v1
Q14,14,11,646,215.0000000000,30.0000000000,60.0000000000,frozen_nested_q14_from_q6_q14_q26_v1
Q14,14,12,708,200.0000000000,-10.0000000000,100.0000000000,frozen_nested_q14_from_q6_q14_q26_v1
Q14,14,13,721,20.0000000000,10.0000000000,80.0000000000,frozen_nested_q14_from_q6_q14_q26_v1
Q26,26,0,1,0.0000000000,-30.0000000000,120.0000000000,frozen_sonicom_q26_v1
Q26,26,1,11,0.0000000000,90.0000000000,0.0000000000,frozen_sonicom_q26_v1
Q26,26,2,94,340.0000000000,10.0000000000,80.0000000000,frozen_sonicom_q26_v1
Q26,26,3,107,160.0000000000,-10.0000000000,100.0000000000,frozen_sonicom_q26_v1
Q26,26,4,141,330.0000000000,45.0000000000,45.0000000000,frozen_sonicom_q26_v1
Q26,26,5,154,150.0000000000,-45.0000000000,135.0000000000,frozen_sonicom_q26_v1
Q26,26,6,157,325.0000000000,-20.0000000000,110.0000000000,frozen_sonicom_q26_v1
Q26,26,7,169,145.0000000000,30.0000000000,60.0000000000,frozen_sonicom_q26_v1
Q26,26,8,271,300.0000000000,20.0000000000,70.0000000000,frozen_sonicom_q26_v1
Q26,26,9,284,120.0000000000,-20.0000000000,110.0000000000,frozen_sonicom_q26_v1
Q26,26,10,287,295.0000000000,-45.0000000000,135.0000000000,frozen_sonicom_q26_v1
